ea_id,method,family,type,train_f1,train_auc,train_acc,train_recall,train_specificity,train_threshold,val_f1,val_auc,val_acc,val_recall,val_specificity,val_threshold,test_f1,test_auc,test_acc,test_recall,test_specificity,test_threshold
EA-A1,Mean (sum rule),A,LIT,,,,,,,0.738255033557047,0.9043757186951522,0.9195876288659793,0.6707317073170732,0.9702233250620348,0.5449999999999999,0.6929133858267716,0.8935333615631237,0.8825301204819277,0.7213114754098361,0.9188191881918819,0.345
EA-A2,Product rule,A,LIT,,,,,,,0.7466666666666667,0.888761120861829,0.9216494845360824,0.6829268292682927,0.9702233250620348,0.595,0.7008547008547008,0.8738128364890205,0.8945783132530121,0.6721311475409836,0.9446494464944649,0.11499999999999998
EA-A3,Max rule,A,LIT,,,,,,,0.7142857142857143,0.9002451128729648,0.9010309278350516,0.7317073170731707,0.9354838709677419,0.6649999999999999,0.6846846846846847,0.891113665235013,0.8945783132530121,0.6229508196721312,0.955719557195572,0.7699999999999999
EA-A4,Calibrated mean,A,ORIG,0.9399293286219081,0.9960212476249154,0.9791794243723209,0.926829268292683,0.9903417533432393,0.5099999999999999,0.7333333333333333,0.9039823276644677,0.9175257731958762,0.6707317073170732,0.967741935483871,0.5549999999999999,0.703125,0.8919605589498517,0.8855421686746988,0.7377049180327869,0.9188191881918819,0.32999999999999996
EA-B1,F1-weighted average,B,LIT,,,,,,,0.7333333333333333,0.904496762089209,0.9175257731958762,0.6707317073170732,0.967741935483871,0.5299999999999999,0.6923076923076923,0.8937753311959349,0.8795180722891566,0.7377049180327869,0.9114391143911439,0.31999999999999995
EA-B2,RC power weighting,B,LIT,,,,,,,0.738255033557047,0.904194153604067,0.9195876288659793,0.6707317073170732,0.9702233250620348,0.5449999999999999,0.6929133858267716,0.8934123767467183,0.8825301204819277,0.7213114754098361,0.9188191881918819,0.35
EA-B3,AUC-weighted average,B,LIT,,,,,,,0.738255033557047,0.904496762089209,0.9195876288659793,0.6707317073170732,0.9702233250620348,0.5399999999999999,0.6929133858267716,0.893472869154921,0.8825301204819277,0.7213114754098361,0.9188191881918819,0.345
EA-B4,Confidence-modulated weighting,B,ORIG,,,,,,,0.7333333333333333,0.9046178054832658,0.9175257731958762,0.6707317073170732,0.967741935483871,0.5099999999999999,0.7049180327868853,0.894803702135382,0.891566265060241,0.7049180327868853,0.933579335793358,0.33999999999999997
EA-B5,Diversity-penalised weighting,B,ORIG,,,,,,,0.738255033557047,0.9043757186951521,0.9195876288659793,0.6707317073170732,0.9702233250620348,0.5449999999999999,0.6929133858267716,0.8935333615631238,0.8825301204819277,0.7213114754098361,0.9188191881918819,0.345
EA-C2,Shallow MLP meta-learner,C,LIT,0.9637305699481865,0.9983309690345896,0.9871402327005512,0.9721254355400697,0.9903417533432393,0.32499999999999996,0.7320261437908496,0.8857350360104097,0.9154639175257732,0.6829268292682927,0.9627791563275434,0.32499999999999996,0.7008547008547008,0.8926259754400823,0.8945783132530121,0.6721311475409836,0.9446494464944649,0.285
