tier_config,n_features,best_arch,best_alpha,best_epoch,total_epochs,val_f1,val_auc,val_recall,val_precision,val_threshold,val_acc,val_spec,test_f1,test_auc,test_recall,test_precision,test_threshold,test_acc,test_spec,train_f1,train_auc,train_acc,train_recall,train_spec,train_threshold
T1+T2,7,64+64,0.001,3,24,0.7320261437908496,0.8803183441263692,0.6829268292682927,0.7887323943661971,0.31999999999999995,0.9154639175257732,0.9627791563275434,0.6666666666666666,0.8885729840904967,0.6229508196721312,0.7169811320754716,0.31999999999999995,0.8855421686746988,0.9446494464944649,0.969485614646905,0.9983445594379525,0.9892835272504593,0.9686411149825784,0.9936849925705795,0.44499999999999995
T1+T2+T3,10,32,0.001,17,38,0.7305389221556886,0.8073291775101374,0.7439024390243902,0.7176470588235294,0.18,0.9072164948453608,0.9404466501240695,0.6666666666666666,0.8196116387393383,0.6557377049180327,0.6779661016949152,0.18,0.8795180722891566,0.9298892988929889,0.9615055603079555,0.998416394427158,0.9862216778934476,0.9790940766550522,0.9877414561664191,0.3
T1+T2+T3+T4,14,16,0.001,23,44,0.7204968944099379,0.7836046722750105,0.7073170731707317,0.7341772151898734,0.16499999999999998,0.9072164948453608,0.9478908188585607,0.6779661016949152,0.7545218075131571,0.6557377049180327,0.7017543859649122,0.16499999999999998,0.8855421686746988,0.9372693726937269,0.9707401032702238,0.9978022376275557,0.9895897121861604,0.9825783972125436,0.9910846953937593,0.35999999999999993
T1+T2+T3+T4+T5,20,32,0.001,12,33,0.7361963190184049,0.7915632754342431,0.7317073170731707,0.7407407407407407,0.19999999999999998,0.911340206185567,0.9478908188585607,0.6833333333333333,0.7562155949428346,0.6721311475409836,0.6949152542372882,0.19999999999999998,0.8855421686746988,0.933579335793358,0.9740484429065744,0.9971343663765655,0.9908144519289651,0.980836236933798,0.9929420505200595,0.38499999999999995
T1+T2+T3+T4+T5+T6,23,64,1.0,6,27,0.7421383647798742,0.8496943654300066,0.7195121951219512,0.7662337662337663,0.25499999999999995,0.9154639175257732,0.9553349875930521,0.6837606837606838,0.8308632266650535,0.6557377049180327,0.7142857142857143,0.25499999999999995,0.8885542168674698,0.940959409594096,0.9729257641921397,0.9980559251570015,0.9905082669932639,0.9703832752613241,0.9947994056463596,0.4649999999999999
