tier_config,n_features,best_depth,best_lr,best_subsample,best_n_trees,val_f1,val_auc,val_recall,val_precision,val_threshold,val_acc,val_spec,test_f1,test_auc,test_recall,test_precision,test_threshold,test_acc,test_spec,train_f1,train_auc,train_acc,train_recall,train_spec,train_threshold
T1+T2,7,1,0.3,0.6,4,0.7012987012987013,0.8182684742480181,0.6585365853658537,0.75,0.10499999999999998,0.9051546391752577,0.9553349875930521,0.6724137931034483,0.8018571169318249,0.639344262295082,0.7090909090909091,0.10499999999999998,0.8855421686746988,0.940959409594096,0.9779735682819384,0.9955798830966447,0.9923453766074709,0.9668989547038328,0.9977711738484398,0.19999999999999998
T1+T2+T3,10,3,0.3,0.8,3,0.7228915662650602,0.8525388851903407,0.7317073170731707,0.7142857142857143,0.08499999999999998,0.9051546391752577,0.9404466501240695,0.6721311475409836,0.8138346137559735,0.6721311475409836,0.6721311475409836,0.08499999999999998,0.8795180722891566,0.9261992619926199,0.9895652173913043,0.9994848589963293,0.9963257807715861,0.9912891986062717,0.9973997028231798,0.355
T1+T2+T3+T4,14,5,0.05,0.8,23,0.7151515151515152,0.8519790594928282,0.7195121951219512,0.7108433734939759,0.05999999999999999,0.9030927835051547,0.9404466501240695,0.6666666666666666,0.8102050692638074,0.6721311475409836,0.6612903225806451,0.05999999999999999,0.8765060240963856,0.922509225092251,0.9973935708079931,0.9999954698655457,0.9990814451928965,1.0,0.9988855869242199,0.21999999999999997
T1+T2+T3+T4+T5,20,1,0.05,0.6,23,0.7105263157894737,0.8241693397082854,0.6585365853658537,0.7714285714285715,0.22999999999999998,0.9092783505154639,0.9602977667493796,0.6724137931034483,0.8026132720343596,0.639344262295082,0.7090909090909091,0.22999999999999998,0.8855421686746988,0.940959409594096,0.9779735682819384,0.9964312247930376,0.9923453766074709,0.9668989547038328,0.9977711738484398,0.45499999999999996
T1+T2+T3+T4+T5+T6,23,1,0.1,0.6,12,0.7019867549668874,0.8183743872178176,0.6463414634146342,0.7681159420289855,0.235,0.9072164948453608,0.9602977667493796,0.6902654867256637,0.8026132720343596,0.639344262295082,0.75,0.235,0.8945783132530121,0.9520295202952029,0.9779735682819384,0.9964357549274919,0.9923453766074709,0.9668989547038328,0.9977711738484398,0.38499999999999995
