tier_config,n_features,best_c,val_f1,val_auc,val_recall,val_precision,val_threshold,val_acc,val_spec,test_f1,test_auc,test_recall,test_precision,test_threshold,test_acc,test_spec,train_f1,train_auc,train_acc,train_recall,train_spec,train_threshold
T1+T2,7,0.001,0.7368421052631579,0.90370998002784,0.6829268292682927,0.8,0.23999999999999996,0.9175257731958762,0.9652605459057072,0.6542056074766355,0.8951666565845987,0.5737704918032787,0.7608695652173914,0.23999999999999996,0.8885542168674698,0.959409594095941,0.9603448275862069,0.9974760679468396,0.9859154929577465,0.9703832752613241,0.9892273402674592,0.22499999999999998
T1+T2+T3,10,0.001,0.7368421052631579,0.9040125885129819,0.6829268292682927,0.8,0.24499999999999997,0.9175257731958762,0.9652605459057072,0.6666666666666666,0.8948641945435848,0.5901639344262295,0.7659574468085106,0.24499999999999997,0.891566265060241,0.959409594095941,0.9609713790112749,0.9974055272817641,0.9862216778934476,0.9651567944250871,0.9907132243684993,0.235
T1+T2+T3+T4,14,0.001,0.7368421052631579,0.9038915451189251,0.6829268292682927,0.8,0.25499999999999995,0.9175257731958762,0.9652605459057072,0.6666666666666666,0.8951061641763959,0.5901639344262295,0.7659574468085106,0.25499999999999995,0.891566265060241,0.959409594095941,0.9611734253666955,0.997569259284187,0.9862216778934476,0.9703832752613241,0.9895988112927192,0.23999999999999996
T1+T2+T3+T4+T5,20,0.1,0.7354838709677419,0.9030139805120135,0.6951219512195121,0.7808219178082192,0.145,0.9154639175257732,0.9602977667493796,0.6666666666666666,0.8952271489928014,0.639344262295082,0.6964285714285714,0.145,0.8825301204819277,0.9372693726937269,0.9781659388646288,0.9988079274764304,0.9923453766074709,0.975609756097561,0.9959138187221397,0.36499999999999994
T1+T2+T3+T4+T5+T6,23,0.001,0.7368421052631579,0.9053743266961205,0.6829268292682927,0.8,0.26499999999999996,0.9175257731958762,0.9652605459057072,0.6605504587155964,0.8967999516060734,0.5901639344262295,0.75,0.26499999999999996,0.8885542168674698,0.955719557195572,0.9628349178910977,0.9977019275074941,0.98683404776485,0.9703832752613241,0.9903417533432393,0.24999999999999997
